date,macd,signal,hist,merged_signal
2022-07-04,-21.14891506400147,-14.514643366632251,-6.634271697369218,
2022-07-05,-22.43491545745769,-16.09869778479734,-6.33621767266035,
2022-07-06,-22.027708751960915,-17.28449997823006,-4.743208773730856,
2022-07-07,-19.95473815646386,-17.81854761387682,-2.136190542587041,
2022-07-08,-18.65204338043094,-17.985246767187643,-0.6667966132432959,
2022-07-11,-18.68563529800707,-18.12532447335153,-0.5603108246555415,
2022-07-12,-17.92943938957802,-18.086147456596827,0.1567080670188048,buy
2022-07-13,-17.05687063636924,-17.88029209255131,0.8234214561820714,
2022-07-14,-14.789224227030502,-17.26207851944715,2.472854292416649,
2022-07-15,-11.12335625131459,-16.03433406582064,4.910977814506051,
2022-07-18,-8.630230558074913,-14.553513364271495,5.923282806196582,
2022-07-19,-5.3947590826526834,-12.721762507947734,7.32700342529505,
2022-07-20,-2.9092499884312133,-10.75926000404443,7.850010015613217,
2022-07-21,-1.7328625215803868,-8.953980507551622,7.221117985971235,
2022-07-22,-1.210247127078162,-7.40523383145693,6.194986704378768,
2022-07-25,-0.396913161276359,-6.003569697420816,5.606656536144457,
2022-07-26,-0.6119146050353379,-4.925238678943721,4.313324073908383,
2022-07-27,-1.2895149999457658,-4.19809394314413,2.908578943198364,
2022-07-28,-2.2237088706027635,-3.8032169286358566,1.5795080580330931,
2022-07-29,-1.921168924586425,-3.4268073278259705,1.5056384032395456,
2022-08-01,-2.6857183238660696,-3.278589527033991,0.5928712031679213,
2022-08-02,-3.581183313912902,-3.339108284409773,-0.2420750295031286,sell
2022-08-03,-4.737331858093057,-3.6187529991464302,-1.118578858946627,
2022-08-04,-6.033490041047912,-4.101700407526727,-1.931789633521185,
2022-08-05,-6.732149699590366,-4.627790265939455,-2.104359433650912,
2022-08-08,-7.6910180964588335,-5.240435832043331,-2.450582264415502,
2022-08-09,-8.82766976811979,-5.957882619258623,-2.8697871488611675,
2022-08-10,-8.642793787020878,-6.494864852811074,-2.147928934209804,
2022-08-11,-7.377574214512947,-6.671406725151449,-0.7061674893614978,
2022-08-12,-5.946446923066389,-6.5264147647344375,0.579967841668048,buy
2022-08-15,-4.810077142895295,-6.18314724036661,1.3730700974713148,
2022-08-16,-2.523974584152711,-5.451312709123831,2.9273381249711203,
2022-08-17,-0.7806865442928483,-4.517187476157635,3.7365009318647866,
2022-08-18,0.1034358407175659,-3.593062812782595,3.696498653500161,
2022-08-19,1.0406435686805366,-2.666321536489969,3.7069651051705055,
2022-08-22,2.077365935959961,-1.717584041999983,3.794949977959944,
2022-08-23,3.399614332706392,-0.6941443670587082,4.0937586997651,
2022-08-24,5.050952941750381,0.4548750947031098,4.596077847047272,
2022-08-25,7.47338686118087,1.858577447998662,5.614809413182208,
2022-08-26,9.255027261177077,3.3378674106343453,5.917159850542731,
2022-08-29,11.220300768169295,4.914354082141335,6.30594668602796,
2022-08-30,12.559585700790876,6.443400405871243,6.116185294919633,
2022-08-31,13.082847847992468,7.771289894295489,5.31155795369698,
2022-09-01,11.788960950808589,8.574824105598108,3.21413684521048,
2022-09-02,9.98914687522796,8.857688659524078,1.1314582157038815,
2022-09-05,9.378590014015517,8.961868930422366,0.4167210835931492,
2022-09-06,8.755862102649473,8.920667564867788,-0.1648054622183146,sell
2022-09-07,7.013088244996197,8.53915170089347,-1.5260634558972723,
2022-09-08,6.603985214128386,8.152118403540454,-1.5481331894120682,
2022-09-09,3.282163919697723,7.178127506771909,-3.8959635870741858,
2022-09-12,0.6776923765432343,5.878040480726175,-5.2003481041829405,
2022-09-13,-1.2568957826409817,4.451053228052744,-5.707949010693725,
2022-09-14,-2.396109915533032,3.0816205993355887,-5.47773051486862,
2022-09-15,-3.410524294117579,1.7831916206449554,-5.193715914762534,
2022-09-16,-6.4782218922208585,0.1309089180717926,-6.609130810292651,
2022-09-19,-7.584956797946063,-1.4122642251317783,-6.1726925728142845,
2022-09-20,-8.233196888779844,-2.776450757861392,-5.456746130918452,
2022-09-21,-6.96406081306526,-3.613972768902166,-3.3500880441630936,
2022-09-22,-5.290076015134218,-3.949193418148576,-1.340882596985642,
2022-09-23,-4.5057850650158,-4.060511747522021,-0.4452733174937791,
2022-09-26,-3.9715880520737983,-4.042727008432377,0.0711389563585784,buy
2022-09-27,-3.70403668236628,-3.9749889432191576,0.2709522608528782,
2022-09-28,-1.666906273821951,-3.5133724093397163,1.8464661355177647,
2022-09-29,0.1252261690411842,-2.7856526936635366,2.910878862704721,
2022-09-30,1.5446435967083971,-1.91959343558915,3.464237032297547,
2022-10-03,1.9610573238355755,-1.143463283704205,3.10452060753978,
2022-10-04,1.907580245957036,-0.5332545777719568,2.4408348237289923,
2022-10-05,2.0250260653290866,-0.0215984491517481,2.046624514480835,
2022-10-06,1.2427967093917118,0.2312805825569438,1.011516126834768,
2022-10-07,0.3740666247183526,0.2598377909892256,0.114228833729127,
2022-10-10,0.6552146595216755,0.3389131646957156,0.3163014948259598,
2022-10-11,2.110071784686454,0.6931448886938634,1.4169268959925907,
2022-10-12,3.558520281215067,1.2662199671981045,2.2923003140169627,
2022-10-13,3.8287460801338966,1.7787251897852627,2.050020890348634,
2022-10-14,3.205489984356518,2.064078148699514,1.1414118356570042,
2022-10-17,3.0858962912619177,2.268441777211995,0.8174545140499228,
2022-10-18,1.301759964293126,2.0751054146282213,-0.7733454503350954,sell
2022-10-19,-1.3050905478823438,1.3990662221261083,-2.704156770008452,
2022-10-20,-3.512109148043976,0.4168311480920914,-3.928940296136068,
2022-10-21,-4.943566921412298,-0.6552484658087865,-4.288318455603512,
2022-10-24,-6.327830796029502,-1.7897649318529298,-4.5380658641765725,
2022-10-25,-7.16954373715663,-2.86572069291367,-4.30382304424296,
2022-10-26,-7.670720044453901,-3.826720563221716,-3.843999481232185,
2022-10-27,-8.064510939977879,-4.674278638572949,-3.3902323014049296,
2022-10-28,-9.461760092425664,-5.631774929343493,-3.82998516308217,
2022-10-31,-10.213317005683336,-6.548083344611461,-3.665233661071875,
2022-11-01,-10.080282484666611,-7.254523172622491,-2.82575931204412,
2022-11-02,-10.85354281737807,-7.974327101573607,-2.879215715804463,
2022-11-03,-10.077680766740286,-8.394997834606944,-1.6826829321333427,
2022-11-04,-8.704026102944454,-8.456803488274446,-0.247222614670008,
2022-11-07,-7.51265534238712,-8.26797385909698,0.7553185167098597,buy
2022-11-08,-5.884969927792156,-7.791373072836015,1.9064031450438588,
2022-11-09,-5.4329090482343645,-7.319680267915685,1.8867712196813209,
2022-11-10,-5.047927914128024,-6.865329797158154,1.8174018830301293,
2022-11-11,-4.414362320009104,-6.375136301728344,1.96077398171924,
2022-11-14,-5.443171471967105,-6.188743335776097,0.7455718638089923,
2022-11-15,-7.415678112709429,-6.434130291162765,-0.9815478215466644,sell
