Date_1,Date_2,Date_3,Predicted_Close_1,Predicted_Close_2,Predicted_Close_3,Actual_Close_1,Actual_Close_2,Actual_Close_3
2024-01-26,2024-01-29,2024-01-30,173.91107,173.27295,173.22305,194.5,194.17,192.42
2024-01-29,2024-01-30,2024-01-31,173.91144,173.27336,173.22345,194.17,192.42,191.73
2024-01-30,2024-01-31,2024-02-01,173.91142,173.27333,173.2234,192.42,191.73,188.04
2024-01-31,2024-02-01,2024-02-02,173.911,173.27289,173.22298,191.73,188.04,184.4
2024-02-01,2024-02-02,2024-02-05,173.91002,173.27197,173.22205,188.04,184.4,186.86
2024-02-02,2024-02-05,2024-02-06,173.90785,173.26978,173.21986,184.4,186.86,185.85
2024-02-05,2024-02-06,2024-02-07,173.89967,173.2617,173.2117,186.86,185.85,187.68
2024-02-06,2024-02-07,2024-02-08,173.89938,173.26141,173.21146,185.85,187.68,189.3
2024-02-07,2024-02-08,,173.89069,173.25288,,187.68,189.3,
2024-02-08,,,173.90297,,,189.3,,
